,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Tryptamine,POS,C10H12N2,61-54-1,Tryptophan metabolism; Indole alkaloid biosynthesis; Biosynthesis of plant secondary metabolites,2.75,Okay,Thin peak with a noisy baseline often seen in tissue samples.,#VALUE!,#VALUE!,"Very noisy, no peak",1.7,3.1,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Carnitine,POS,C7H16NO3,541-15-1,Lysine degradation; ABC Transporters,8.00,Great,"Tall, thin peak seen in most samples and QC(I)",,,"Stable peak, has tail",1.7,8.2,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
9C13-Histidine,,,,,,,,,,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,Extend integration down to bottom of peak
Phenylalanine,POS,C9H11NO2,63-91-2,"Phenylalanine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Cyanoamino acid metabolism",6.95,Great,"Tall, thin peak seen in most samples and QC(I)",,,"Left peak, stable",1.7,7.12,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Methionine Sulfoxide,POS,C5H11NO3S,3226-65-1,"Cysteine, methionine metabolism",8.30,Great,"Tall, thin peak seen in most samples and QC(I). Baseline can sometimes be a bit noisy",,,"Stable peak, bumpy on right not integrated",1.7,8.46,30,3,5000,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
7-Methylguanine,POS,C6H7N5O,578-76-7,DNA methylation,4.05,Good,Thin peak seen in most samples and QC(I). Baseline often a bit noisy,,,"Stable, smooth a bit",3,4.1,30,3,5000,50,0.5,9,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Normetanephrine,POS,C9H13NO3,97-31-4,Tyrosine metabolism,N/A,N/A,Never seen in samples.  ,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Taurocyamine,POS,C3H9N3O3S,543-18-0,"Taurine, hypotaurine metabolism",7.55,Okay,Thin peak rarely seen in tissue samples. Baseline often noisy.,#VALUE!,#VALUE!,Qc noisy,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Pyridoxamine,POS,C3H9N3O3S,85-87-0,"Vitamin B6 metabolism; Microbial metabolism; Vitamin digestion, absorption",8.00,Good,Thin peak seen in some samples and QC(I). To the left of another tall peak.,,,"Left peak, stable",1.7,8.2,30,3,5000,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
1/3-Methylhistidine,POS,C7H11N3O2,332-80-9,Histidine metabolism,8.80,Good,Tall peak seen in most samples and QC(I). Baseline can sometimes be a bit noisy,,,"Tall peak, lots of tailing",1.7,9.2,30,3,5000,50,0.5,9,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Norepinephrine,POS,C8H11NO3,51-41-2,Tyrosine metabolism; Two-component system; Quorum sensing,8.90,Bad,Small peak sometimes seen in tissue samples. Baseline usally noisy.,#VALUE!,#VALUE!,"Thin peak, in middle of 2 smaller peaks",1.7,8.5,30,3,4.00E+04,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
n-Glycylproline,POS,C7H12N2O3,704-15-4,N/A,8.50,Good,Simple peak seen in some tissue samples. Baseline often noisy,#VALUE!,#VALUE!,Qc noisy,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Arginine,POS,C6H14N4O2,74-79-3,"Arginine biosynthesis; Monobactam biosynthesis; Arginine, proline metabolism",9.10,Great,"Tall, thin peak seen in most samples and QC(I).",,,Simple peak,1.7,9.17,30,3,2.00E+06,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N-Acetylornithine,POS,C7H14N2O3,6205-08-9,Arginine biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids,8.30,Good,Simple peak sometimes seen in cell samples,#VALUE!,#VALUE!,"Simple peak, noisy baseline",2,9.3,30,3,2.00E+04,50,0.25,9,,Clean,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
10C13-Phenylalanine,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Cotinine,POS,C10H12N2O,486-56-6,Nicotine action pathway; Nicotine metabolism pathway,1.60,Great,Very thin peak seen in QC(I). Rarely seen in samples,,,"Thin peak, baseline can be noisy",1.7,1.6,30,3,1400,50,0.25,9,,,Noisy,,,,,,Noisy,,,,,
Cysteinyl-Glycine (Cys-Gly),POS,C5H10N2O3S,19246-18-5,Glutathione metabolism,8.75,Good,"Tall, thin peak seen in some tissue samples",#VALUE!,#VALUE!,Simple peak,3,9.72,30,3,2000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Gluconolactone,POS,C6H10O6,90-80-2,Pentose phosphate pathway; Biosynthesis of secondary metabolites; Microbial metabolism; Carbon metabolism,N/A,N/A,Not seen in samples.  ,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Glucosamine,POS,C6H13NO5,3416-24-8,"Amino sugar, nucleotide sugar metabolism; Phosphotransferase system",8.50,Good,Thin peak seen in some samples. Usually to the right of another peak.,#VALUE!,#VALUE!,Simple peak,1.7,7.7,30,3,5000,50,0.25,9,,,Noisy,,,,,,Noisy,,,,,
Theobromine,POS,C7H8N4O2,83-67-0,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine",1.80,Good,"Small peak attached to the right of 1,7-Dimethylxanthine. Seen in QC(I) and some serum/plasma samples",,,Small peak to the right of tall thin peak,1.7,1.85,30,3,2000,50,0.1,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
"1,7-Dimethylxanthine",POS,C7H8N4O2,611-59-6,Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Microbial metabolism,1.65,Good,Tall peak attached to the left of Theobromine. Seen in QC(I) and some serum/plasma samples.,,,Left tall peak,1.7,1.7,30,3,5000,50,0.1,9,,Clean,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Tyrosine,POS,C9H11NO3,60-18-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism",7.60,Great,Simple peak seen in most samples and QC(I),,,Simple peak,1.7,7.71,30,3,5.00E+05,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Epinephrine,POS,C9H13NO3,51-43-4,Tyrosine metabolism; Two-component system; Quorum sensing,9.15,Good,Simple peak seen in many samples and QC(I). Baseline can be fairly noisy,,,Simple peak,1.7,9.2,30,3,3.00E+04,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Se-Methylselenocysteine,POS,C4H9NO2Se,26046-90-2,Selenocompound metabolism,N/A,N/A,Not seen in samples. Peak shown at the expected RT is Tyrosine.,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
2C13-Tyrosine,,,,,,,,,,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Phosphorylcholine,POS,C5H15NO4P,3616-04-4,Glycerophospholipid metabolism; Choline metabolism in cancer,9.40,Okay,Broad peak seen in some tissue samples,#VALUE!,#VALUE!,Noisy qc,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
10C13-Arginine,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N6-Acetyl-Lysine,POS,C8H16N2O3,692-04-6,Lysine degradation,8.00,Good,"Tall, thin peak seen in most samples and QC(I)",,,"Left peak, stable",1.7,8.13,30,3,5000,50,0.1,9,,Shoulder/Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Homoarginine,POS,C7H16N4O2,156-86-5,N/A,9.00,Good,"Tall, thin peak seen in most samples and QC(I). Baseline can sometimes be noisy",,,Simple peak,1.7,9.07,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N6-Trimethyllysine,POS,C9H20N2O2,19253-88-4,Lysine degradation,9.00,Great,"Tall, simple peak seen in most samples and QC(I)",,,Simple peak,1.7,9.01,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Homocitrulline,POS,C7H15N3O3,1190-49-4,Lysine metabolism,8.35,Bad,Thin peak seen in most samples and QC(I). Baseline is usally noisy and peak can often attach to part of another peak. Can be tough to integrate.,,,"Tall peak, integrate without bumps",1.8,8.49,30,3,5000,50,0.1,9,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
10C13-Tyrosine,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Caffeine,POS,C8H10N4O2,58-08-2,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine",1.40,Great,"Very thin, tall peak seen is some samples and QC(I)",,,Simple peak,1.7,1.4,30,3,5000,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Salicylurate,POS,C9H9NO4,487-54-7,Salicylate elimination,3.35,Good,Large peak seen in some samples and QC(I). Baseline a little noisy,,,Noisy qc,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
DL DOPA,POS,C9H11NO4,63-84-3,Tyrosine metabolism; Isoquinoline alkaloid biosynthesis; Betalain biosynthesis,8.05,Good,"Tall, thin peak seen in most tissue samples.",#VALUE!,#VALUE!,"Very noisy, no peak",1.7,8.1,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Selenomethionine,POS,C5H11NO2Se,3211-76-5,Selenocompound metabolism,N/A,N/A,Have not seen in samples. (In the past I've integrated the wrong peak for this),#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,Clean,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Dimethylarginine (A/SDMA),POS,C8H18N4O2,ADMA 30315-93-6 SDMA 30344-00-4,Nitric oxide metabolism,8.75,Great,Tall peak seen in most samples and QC(I),,,Tall peak,1.7,8.82,30,3,5000,50,0.5,9,,Shoulder/tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Spermine,POS,C10H26N4,71-44-3,"Arginine, proline metabolism; beta-Alanine metabolism; Glutathione metabolism; Bile secretion",N/A,N/A,Never seen in samples. If large peak appears it means the water is likely contaminated.,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
3-Indolebutyric Acid,POS,C12H13NO2,133-32-4,N/A,1.65,Okay,Small peak seen in a few samples. Baseline fairly noisy,#VALUE!,#VALUE!,No defined peak,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Acetylcarnitine,POS,C9H18NO4,3040-38-8,Insulin resistance,7.40,Great,"Tall, thin peak seen in many samples and QC(I). Baseline can be a bit noisy",,,Simple peak,1.7,7.65,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Tryptophan,POS,C11H12N2O2,73-22-3,"Glycine, serine, threonine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis",7.05,Great,"Tall, thin peak seen in most samples and QC(I)",,,simple peak,1.7,7.18,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
L-Kynurenine,POS,C10H12N2O3,2922-83-0,Tryptophan metabolism; African trypanosomiasis,7.05,Good,"Tall, thin peak seen in most samples and QC(I). Baseline fairly noisy",,,Simple peak,1.7,7.1,30,3,5000,50,0.5,9,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Phosphocreatine,POS,C4H10N3O5P,67-07-2,"Arginine, proline metabolism",9.20,Okay,Tall peak (sometimes two peaks) often seen in tissue samples. Can be very noisy if concentration is low,#VALUE!,#VALUE!,Simple peak when not noisy,1.7,9.28,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N-Ac-Arginine,POS,C8H16N4O3,155-84-0,N/A,8.20,Okay,Short peak seen in many samples and QC(I). Just to the right of a larger peak.,,,Small peak to the right of larger,1.7,8.26,10,3,2000,50,0.25,9,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
13C13-Tryptophan,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Carnosine,POS,C9H14N4O3,305-84-0,Histidine metabolism; beta-Alanine metabolism,9.05,Good,Tall peak seen in many samples. Similar looking peak can be scene in QC(I) but at the wrong RT so don't integrate,,,Noisy in qc,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2'-Deoxycytidine,POS,C9H13N3O4,951-77-9,Pyrimidine metabolism; ABC Transporters,5.00,Good,Tall peak seen in many samples.  ,#VALUE!,#VALUE!,Very noisy,1.7,5.36,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
2'-Deoxyuridine,POS,C9H12N2O5,951-78-0,Pyrimidine metabolism; ABC Transporters,N/A,N/A,Not seen in samples. Sometimes the peak for 2'-Deoxycytidine is visible but don't integrate it,#VALUE!,#VALUE!,Not present in sample,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Biopterin,POS,C9H11N5O3,22150-76-1,"Folate biosynthesis; 	Biosynthesis of cofactors",6.60,Good,Thin peak rarely seen in tissue samples. Baseline fairly noisy,#VALUE!,#VALUE!,Very noisy,1.7,6.87,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Anserine,POS,C10H16N4O3,584-85-0,Histidine metabolism; beta-Alanine metabolism,9.00,Good,"Tall, thin peak seen in most samples. Baseline can be very noisy depending on intensity of peak",#VALUE!,#VALUE!,Very noisy,1.7,9.11,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Cystine,POS,C6H12N2O4S2,56-89-3,"Cysteine, methionine metabolism; ABC Transporters; Ferroptosis; Protein digestion, absorption",9.45,Good,Tall peak seen in many serum/plasma samples and QC(I). Baseline can get pretty noisy,,,Simple tall peak,2,9.48,30,3,5000,50,0.5,9,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Cytidine,POS,C9H13N3O5,65-46-3,Pyrimidine metabolism; ABC Transporters,6.60,Good,"Tall, thin peak seen in most samples. Can get fairly noisy sometimes",#VALUE!,#VALUE!,Shifted qc,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Uridine,POS,C9H12N2O6,58-96-8,Pyrimidine metabolism; ABC Transporters,3.65,Great,Tall peak seen in most samples and QC(I),,,Simple peak,1.7,3.99,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
isoValerylcarnitine,POS,C12H23NO4,31023-24-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,6.35,Great,Tall peak seen in most samples and QC(I),,,Simple peak,1.7,6.36,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
8C13-Cystine,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Neopterin,POS,C9H11N5O4,2009-64-5,Folate biosynthesis,7.70,Okay,Small peak seen in some tissue samples. Usually a lot of noise,#VALUE!,#VALUE!,"Noisy, no stability",1.7,7.94,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
11C13-Uridine,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glycerophosphocholine,POS,C8H21NO6P,28319-77-9,Glycerophospholipid metabolism; Ether lipid metabolism; Choline metabolism in cancer,8.30,Great,"Tall, thin peak seen in most samples and QC(I)",,,Simple peak,1.7,8.46,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
5-Methylcytidine,POS,C10H15N3O5,2140-61-6,N/A,6.05,Good,Tall peak seen in many samples. Baseline usually noisy,#VALUE!,#VALUE!,Noisy,1.7,6.47,30,3,5000,0,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Hexanoyl-L-Carnitine (6:0 Carnitine),POS,C13H26NO4,22671-29-0,N/A,5.50,Okay,Broad peaks seen in most samples and QC(I). Peak shape can drsatically change throughout the study,,,Rough peak,1.7,5.7,30,3,5000,50,0.5,5,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Phosphotyrosine,POS,C9H12NO6P,N/A,Tyrosine biosynthesis,7.75,Bad,Small peak rarely seen in tissue samples. Usually very noisy,#VALUE!,#VALUE!,,2,9.22,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Succinylcarnitine,POS,C11H19NO6,256928-74-2,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation,8.55,Okay,Tall peak seen in many samples and QC(I). Can sometimes be noisy or have a small peak attached to the side,,,"Simple peak, small peak to right not integrated",1.7,8.69,30,3,5000,50,0.1,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Thiamine,POS,C12H17N4OS,70-16-6,"Thiamine metabolism; ABC Transporters; Sulfur relay system; Vitamin digestion, absorption",7.35,Good,Tall peak seen in many samples and QC(I). Baseline a little noisy,,,Simple peak,1.7,7.54,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,Count first sample
"2,3-Diphosphoglyceric Acid",POS,C3H8O10P2,138-81-8,"Glycolysis, Gluconeogenesis",9.80,Okay,Tall peak seen in some samples. Can be tricky to integrate with the curved baseline,#VALUE!,#VALUE!,Simple peak,1.7,9.95,30,3,6000,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Deoxyguanosine,POS,C10H13N5O4,961-07-9,Purine metabolism; ABC Transporters,6.40,Okay,Small peak seen in some tissue samples. Usually a lot of noise,#VALUE!,#VALUE!,Noisy,1.7,6.64,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Adenosine,POS,C10H13N5O4,58-61-7,Purine metabolism; ABC Transporters; cGMP-PKG signaling pathway,3.60,Good,Tall peak seen in many samples. Baseline can get really noisy,#VALUE!,#VALUE!,Noisy qc,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Inosine,POS,C10H12N4O5,58-63-9,Purine metabolism; ABC Transporters,5.60,Great,Tall peak seen in most samples and QC(I),,,"Simple peak, baseline can be bumpy",2,5.9,30,3,1500,50,0.15,9,,,Noisy,,,,,,Noisy,,,,,
4N15-Inosine,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glutarylcarnitine,POS,C12H21NO6,102636-82-8,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,8.35,Good,"Tall, thin peak seen in most samples and QC(I)",,,Simple peak,1.7,8.49,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Oleamide,POS,C18H35NO,301-02-0,N/A,1.20,Okay,Thin peak seen in a few samples. Baseline usually noisy,#VALUE!,#VALUE!,Noisy,1.7,1.5,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
1-Methyladenosine,POS,C11H15N5O4,15763-06-1,N/A,7.50,Good,Tall peak seen in some samples.  ,#VALUE!,#VALUE!,"Simple peak, tail included",1.7,7.61,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
6-Methyladenosine,POS,C11H15N5O4,1867-73-8,DNA Repair; Reversal of alkylation damage by DNA dioxygenases,2.70,Okay,Tall peak seen in many samples. Baseline usually noisy,#VALUE!,#VALUE!,Baseline and peak noisy,1.7,2.82,30,3,5000,50,0.5,9,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Guanosine,POS,C10H13N5O5,118-00-3,Purine metabolism; ABC Transporters,7.10,Okay,Tall peak seen in most samples and QC(I). Baseline very noisy,,,Noisy in some samples,1.7,7.2,30,3,800,50,0.1,9,,Shoulder/tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Retinal,POS,C20H28O,116-31-4,"Retinol metabolism; Phototransduction; Vitamin digestion, absorption",1.15,Good,"Tall, thin peak seen in some samples.",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Retinol,POS,C20H30O,68-26-8,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,1.20,Bad,Small peak seen in some tissue samples. Baseline very noisy,#VALUE!,#VALUE!,Qc noisy,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Octanoyl-L-Carnitine (8:0 Carnitine),POS,C15H29NO4,25243-95-2,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,4.00,Okay,Broad peaks seen in most samples and QC(I). Peak shape can drsatically change throughout the study,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Argininosuccinate,POS,C10H18N4O6,2387-71-5,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of amino acids",9.40,Okay,Small peak seen in many samples and QC(I). Baseline very noisy,,,Simple peak,1.7,9.53,39,3,2000,50,0.5,9,,Shoulder/tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
5'-Methylthioadenosine,POS,C11H15N5O3S,2457-80-9,"Cysteine, methionine metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites",1.70,Good,Tall peak to the left seen in many samples that's usually attached to another peak.,#VALUE!,#VALUE!,Qc magnitude inadequate,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
1-Methylguanosine,POS,C11H15N5O5,2140-65-0,N/A,4.70,Good,Tall peak seen in many samples and QC(I). Baseline a little noisy,,,"Tall peak, dont integrate small bumps",2.5,4.65,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
"N2,N2-Dimethylguanosine",POS,C12H17N5O5,2140-67-2,N/A,4.30,Good,Tall peak seen in many samples and QC(I). Baseline a little noisy,,,"Tall peak, a bit bumpy",2,4.58,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
UMP,POS,C9H13N2O9P,58-97-9,Pyrimidine metabolism,8.65,Good,Tall peak seen mostly in tissue samples.,#VALUE!,#VALUE!,Qc inadequate,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
cAMP,POS,C10H12N5O6P,60-92-4,"Purine metabolism; Endocrine resistance; Biofilm formation - Pseudomonas aeruginosa, Escherichia coli",7.60,Good,Thin peak seen mostly in tissue samples. Baseline usually noisy,#VALUE!,#VALUE!,Qc differs from samples,1.7,7.75,30,3,1000,50,0.25,9,,,Noisy,,,,,,Noisy,,,,,
GMP,POS,C10H14N5O8P,85-32-5,"Purine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine",9.00,Good,Tall peak seen in most samples,#VALUE!,#VALUE!,Inadequate qc,1.7,9.05,30,3,500,50,0.25,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
XMP,POS,C10H12N4O6,146-80-5,Purine metabolism; Purine Ribonucleosides Degradation,9.05,Good,Tall peak seen in some tissue samples. Usually have to smooth out the two peaks into one,#VALUE!,#VALUE!,Noisy,1.7,10,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Myristoyl-L-Carnitine (14:0 Carnitine),POS,C21H42NO4,25597-07-3,N/A,1.70,Great,Tall peak seen in most samples and QC(I). Usually keeps shape throughout study,,,,1.7,1.7,30,3,7000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Riboflavin,POS,C17H20N4O6,83-88-5,"Riboflavin metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Vitamin digestion, absorption",5.65,Good,Tall peak seen in most samples. Baseline can get really noisy at low concentrations,#VALUE!,#VALUE!,Simple peak,1.7,5.85,30,3,2000,50,0.5,9,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
SAH,POS,C14H20N6O5S,979-92-0,"Cysteine, methionine metabolism; Biosynthesis of amino acids",8.45,Okay,Thin peak seen in most samples and QC(I). Noisy baseline,,,Simple peak,1.7,8.56,30,3,500,50,0.25,9,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Cholecalciferol,POS,C27H44O,67-97-0,"Steroid biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, Absorption; Rheumatoid arthritis",1.25,Okay,Dual peaks seen in most samples and QC(I). Baseline usually a bit noisy,,,,1.7,1.27,30,3,1000,50,0.4,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Ergocalciferol,POS,C28H44O,50-14-6,Steroid biosynthesis; Biosynthesis of secondary metabolites,1.20,Good,Broad peak seen in some samples. To the left of another peak that's attached,#VALUE!,#VALUE!,Integrate left peak,1.7,1.2,30,3,700,50,0.15,9,,,,,,,,,,,,,,
S-Adenosylmethionine (SAM),POS,C15H22N6O5S,485-80-3,"Monobactam biosynthesis; Cysteine, methionine metabolism; Arginine, proline metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones",9.35,Good,Tall peak seen in many samples. Baseline sometimes noisy,#VALUE!,#VALUE!,Tall peak,1.7,9.6,30,3,500,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
CDP,POS,C9H15N3O11P2,63-38-7,Pyrimidine metabolism,9.50,Good,Tall peak seen in many tissue samples,#VALUE!,#VALUE!,Noisy,1.7,9.67,30,3,5000,50,0.5,9,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Thiamine pyrophosphate,POS,C12H19N4O7P2S,154-87-0,"Glycolysis, Gluconeogenesis; TCA Cyle; Branched chain amino acid degradation",9.50,Good,Tall peak seen in a few tissue samples. Baseline a little noisy,#VALUE!,#VALUE!,Noisy,1.7,9.5,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
Malonyl-CoA (+2),,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
